wine,winery,category,designation,varietal,appellation,alcohol,price,rating,reviewer,review
Clos du Lac 2001 Reserve Blend Zinfandel (Amador County),Clos du Lac,Red,Reserve Blend,Zinfandel,"Amador County, Sierra Foothills, California, US",,$16,87,,"Unmistakably California Zin, with its briary, brambly flood of wild berry and peppery spice flavors that finish dry and tannic. It's not a heavy wine, but has a silky lightness that makes it super-drinkable."
Allan Hancock 2019 Chardonnay (Santa Barbara County),Allan Hancock,White,,Chardonnay,"Santa Barbara County, Central Coast, California, US",14.1%,$14,88,Matt Kettmann,"Lightly honeyed aromas of pineapple and ripe orange are clean on the nose of this bottling. There's just enough grip to the palate, giving depth to the yellow-pear and tangerine-peel flavors."
Ancient Peaks 2009 Oyster Ridge Red (Paso Robles),Ancient Peaks,Red,Oyster Ridge,Bordeaux-style Red Blend,"Paso Robles, Central Coast, California, US",14.1%,$50,90,,"A blend of Cabernet Sauvignon, Petite Sirah, Petit Verdot and Malbec, this is bone dry and full bodied, and it strikes the palate with rustic tannins. It has a complexity that's hard to define, and it will pair well with grilled meats or stews."
Billecart-Salmon 2006 Cuvée Elisabeth Salmon Brut Rosé  (Champagne),Billecart-Salmon,Sparkling,Cuvée Elisabeth Salmon Brut Rosé,"Champagne Blend, Sparkling","Champagne, Champagne, France",12.5%,VivinoGary's WineTotal Wine,94,Roger Voss,"Produced from Pinot Noir and Chardonnay, this balances ripe red berry and citrus fruits with more mature spice and vanilla. With this development has come depth, concentration and richness. It is a wine to drink with food, ripe and finishing with crisp, dry acidity."
Domaine Weinbach 2015 Réserve Pinot Blanc (Alsace),Domaine Weinbach,White,Réserve,Pinot Blanc,"Alsace, Alsace, France",13%,$20,90,Anne Krebiehl MW,White summer blossoms and ripe green pears make for a fresh scent. The palate lifts these notions with bright lemon acidity. All is buoyed by some residual carbon dioxide. Drink soon while this is at its aromatic height.
Señorío de Sarria 2005 Viñedo N° 7 Graciano (Navarra),Señorío de Sarria,Red,Viñedo N° 7,"Graciano, Spanish Red","Navarra, Northern Spain, Spain",12.5%,$15,84,Michael Schachner,"Varietal Graciano is something we frequently see, and very rarely does it bowl us over. This wine has jumpy cherry and lemon peel aromas, and the flavors are tight, a touch sour and run toward cherry and red plum. Fruity for certain, but lacking in charm and mouthfeel."
Tenuta San Guido 2018 Le Difese Red (Toscana),Tenuta San Guido,Red,Le Difese,"Red Blends, Red Blends","Toscana, Tuscany, Italy",14%,$40,90,Kerin O’Keefe,"Aromas of star anise, dark-skinned berry, wild herb and toasted oak form the nose. A blend of 70% Cabernet and 30% Sangiovese, the wine's bright, linear palate offers red currant, prune and a hint of licorice before a coffee-bean finish. Racy acidity and taut close-grained tannins provide the framework and tension."
Karly 2005 Warrior Fires Zinfandel (Amador County),Karly,Red,Warrior Fires,Zinfandel,"Amador County, Sierra Foothills, California, US",15.1%,$26,84,,"The name suggests certain proprietarily named Ports, and it's an apt descriptor for this muscular wine, which has superripe flavors of currants and raisins that veer into an overripe tartness. It's dry, but with very high alcohol."
Castle Rock 2004 Merlot (Napa Valley),Castle Rock,Red,,Merlot,"Napa Valley, Napa, California, US",13.5%,$10,83,,"Smells so nice and pretty, just like a young Merlot should, but that white sugary edge to the cherries really detracts."
Doffo 2016 Motodoffo Royal Tinto Red (Temecula Valley),Doffo,Red,Motodoffo Royal Tinto,"Red Blends, Red Blends","Temecula Valley, South Coast, California, US",13.5%,$52,90,Matt Kettmann,"Caramelized black cherry, baked licorice and potting soil combine on the spicy nose of this balanced bottling that features a motorcycle on the label. The tannins are just firm enough to hold up the ripe cherry and cola flavors, and there are intriguing touches of jasmine and elderflower on the finish."
Schloss Gobelsburg 2016 Reserve Pinot Noir (Niederösterreich),Schloss Gobelsburg,Red,Reserve,Pinot Noir,"Niederösterreich, Austria",13%,$39,92,Anne Krebiehl MW,"A touch of smoke plays over crunchy, crisp red cherry and cranberry fruit on the nose. On the palate that same crunchy, tart red fruit expands beautifully, while that smokiness adds a darker allure. Freshness pervades and makes for an elegant Pinot that will benefit from some bottle age. Drink 2021–2028."
Château Penin 2014 Natur  (Bordeaux),Château Penin,Red,Natur,Bordeaux-style Red Blend,"Bordeaux, Bordeaux, France",13%,$16,85,Roger Voss,The wine is fruity with acidity and just a touch of wood aging. It is bright with red currants and a lively bright character. Drink from 2017.
Quinta do Crasto 2016 LBV Late Bottled Vintage  (Port),Quinta do Crasto,Port/Sherry,LBV Late Bottled Vintage,"Port, Port Blend","Port, Portugal",20%,$26,91,Roger Voss,"Bottled unfiltered, this Port comes from 70-year-old vines. It is deliciously perfumed, softly textured with ripe black fruits and hints of dried fruits. While the wine can be enjoyed now, it will be even better with some aging, waiting until 2022."
Arrowood 2011 Alary Vineyard Chardonnay (Russian River Valley),Arrowood,White,Alary Vineyard,Chardonnay,"Russian River Valley, Sonoma, California, US",13.5%,$35,88,,"The vineyard is in a warmer part of the northern valley, and yet it shows brisk acidity and the cool-climate apricot, lime and white peach flavors of a long hangtime region. It's a fine Chardonnay, oaky and buttery, and provides pleasant drinking now."
Conceito Vinhos 2014 Conceito Branco White (Douro),Conceito Vinhos,White,Conceito Branco,Portuguese White,"Douro, Portugal",13%,$55,91,Roger Voss,"A full rich and ripe wine that has toast as well as juicy citrus and yellow fruit flavors. It's a young wine, full of crisp fruitiness that will soften and fill out. With its mineral texture, typical of Douro whites, it is a wine for aging. Drink from 2017."
Yalumba 2002 Y Series Viognier (South Australia),Yalumba,White,Y Series,Viognier,"South Australia, South Australia, Australia",14%,VivinoGary's Wine,84,,"Melon and honey flavors and aromas are lovely, but I wish those flavors were more concentrated than they are. Finishes with taut yellow-fruit skin and mineral flavors."
Fondo Antico 2009 Grillo Parlante Grillo (Sicilia),Fondo Antico,White,Grillo Parlante,"Grillo, Italian White","Sicilia, Sicily & Sardinia, Italy",13%,$14,83,,"Grillo Parlante (“talking cricket”) is a pure expression of Grillo with slightly oxidized aromas of butterscotch and caramel. Fresh fruit comes through as melon, apricot and candied lemon."
Lolonis 2006 Chardonnay (Redwood Valley),Lolonis,White,,Chardonnay,"Redwood Valley, Mendocino County, California, US",14.5%,$18,84,,"Sweet, with flavors of sugared buttercream, pineapple, vanilla and spice. If you like your Chards basically off-dry, it's for you."
H. Blin NV Blin's Édition Limitée Blanc de Blancs Brut Chardonnay (Champagne),H. Blin,Sparkling,Blin's Édition Limitée Blanc de Blancs Brut,Chardonnay,"Champagne, Champagne, France",12.5%,$65,91,Roger Voss,"A pure and fruity Chardonnay, this Champagne boasts extra complexity thanks to a tight, mineral character. On the palate, crisp, lemony acidity is striated with a steely texture that adds intensity as well as ageability to this fine wine."
Cecilia Beretta 2011 Terre di Cariano Riserva  (Amarone della Valpolicella Classico),Cecilia Beretta,Red,Terre di Cariano Riserva,"Red Blends, Red Blends","Amarone della Valpolicella Classico, Veneto, Italy",15.5%,$60,88,Kerin O’Keefe,"This opens with aromas of grilled herb, resin, stewed plum and cooking spice. The robust palate delivers raisin, dried black cherry under spirits, licorice, tobacco and dried sage alongside bracing grainy tannins that clench the finish."
Bruna Grimaldi 2016 Camilla  (Barolo),Bruna Grimaldi,Red,Camilla,Nebbiolo,"Barolo, Piedmont, Italy",15%,VivinoGary's Wine,95,Kerin O’Keefe,"Camphor, pressed rose, truffle and wild red-berry aromas are front and center on this full-bodied red. Juicy and delicious, the taut muscular palate has unexpected finesse, delivering juicy Marasca cherry, black raspberry, vanilla and licorice alongside enveloping, velvety tannins and fresh acidity. Thanks to the ripe, delicious fruit, you can't detect the declared abv of 15%. Drink 2024–2036."
Ferghettina NV  Franciacorta,Ferghettina,Sparkling,,"Sparkling Blend, Sparkling","Franciacorta, Lombardy, Italy",12.5%,$35,89,Kerin O’Keefe,"Crisp and refreshing, this delivers aromas of white flower and tangy citrus. The crisp palate highlights nectarine and lemon zest alongside yeasty notes of baked bread and toasted almonds."
Willamette Valley Vineyards 2017 Dijon Clone Chardonnay (Willamette Valley),Willamette Valley Vineyards,White,Dijon Clone,Chardonnay,"Willamette Valley, Willamette Valley, Oregon, US",13%,$25,91,Paul Gregutt,"Immediately drinkable, this opens with pretty accents of toasted coconut around stone fruit and apple. It's spicy and delicious, and 16 months in 20% new French oak adds a swirl of butterscotch trailing the finish."
Luiz Barichello 2013 Turris  (Chianti Classico),Luiz Barichello,Red,Turris,"Red Blends, Red Blends","Chianti Classico, Tuscany, Italy",13.5%,$33,88,Kerin O’Keefe,"Subtle aromas of black-skinned fruit, baking spice and a hint of lavender float out of the glass. The round palate offers red cherry jam, vanilla a touch of star anise alongside smooth tannins."
Roger et Didier Raimbault 2011 Vieilles Vignes  (Sancerre),Roger et Didier Raimbault,White,Vieilles Vignes,Sauvignon Blanc,"Sancerre, Loire Valley, France",13%,$45,92,Roger Voss,"Fragrant currant aromas drive this concentrated and rich wine forward. The old vines give a great depth of flavor and ripeness while keeping the fine herbaceous citrus touch. It's that rare Sancerre for aging, over 3–4 years."
Domaine de Font Sane 2016 Terrasses des Dentelles  (Gigondas),Domaine de Font Sane,Red,Terrasses des Dentelles,Rhône-style Red Blend,"Gigondas, Rhône Valley, France",15%,$35,92,Anna Lee C. Iijima,"Hints of sweet spice, anise and cacao meld into ripe black cherry and mulberry flavors here. It's voluminous and penetrating yet finessed, freshened by sunny acidity. The finish lingers on ripe, integrated tannins. Enjoy now–2028."
Provam 2008 Varanda do Conde White (Vinho Verde),Provam,White,Varanda do Conde,Portuguese White,"Vinho Verde, Portugal",12.5%,$12,90,Roger Voss,"A blend of Alvarinho and Trajadura, this is relatively full-bodied Vinho Verde. The creamy texture is the most apparent, always freshened with lively citric acidity, a very light prickle on the mouth. The wine is fragrant and crisp. Drink this summer, but also possible to age."
Château du Cèdre 2012  Cahors,Château du Cèdre,Red,,Malbec,"Cahors, Southwest France, France",13%,$25,91,Roger Voss,"The estate wine of Château du Cèdre is structured, balanced and full of fruit. It has black currant freshness under its solid tannins and dry core, poised between the intensity of the fruit and the firm structure. It will certainly age, and will be best from 2018."
Carmel 2016 Appellation Cabernet Sauvignon-Shiraz (Galilee),Carmel,Red,Appellation,,"Galilee, Israel",14.5%,$20,89,Mike DeSimone,"This deep garnet-colored wine has a bouquet of cherry pie with touches of extra baking spice. Black currant and blueberry flavors are most apparent on entry, followed by a cooling sensation and flavors of vanilla and clove. Then enduring tannins take hold on the palate, ebbing toward a fragrant finish. Mevushal."
Duval-Leroy 2005 Clos des Bouveries Blanc de Blancs Brut Chardonnay (Champagne),Duval-Leroy,Sparkling,Clos des Bouveries Blanc de Blancs Brut,Chardonnay,"Champagne, Champagne, France",12.5%,$65,91,Roger Voss,"Made from grapes sourced from a single vineyard, this is an intensely minerally Champagne. It is dry and austere, with citrus fruits dominant. The wine needs to age to bring out all of the richness and toast flavor, but it will always be a structured Champagne. This is very much a food wine."
Georges Vigouroux 2015 Château de Haute-Serre  (Cahors),Georges Vigouroux,Red,Château de Haute-Serre,"Red Blends, Red Blends","Cahors, Southwest France, France",14%,$24,92,Roger Voss,"Malbec blended with a total of 10% Merlot and Tannat gives a wine that is firmly structured. It comes from the heights above the River Lot, a magnificent chalk-soil vineyard. Rich in tannins and young black fruits, it is just beginning to develop. Drink from 2023."
Winderlea 2018 Shea Vineyard Pinot Noir (Yamhill-Carlton),Winderlea,Red,Shea Vineyard,Pinot Noir,"Yamhill-Carlton, Willamette Valley, Oregon, US",13.3%,$60,93,Paul Gregutt,"Grapes from Shea seem always to deliver a hit, no matter which winery is at the plate. The lush texture and rich berry-cherry fruit speak volumes about the quality, and the accents of earth and mineral bump up the texture and overall length. Aged 10 months in neutral barrels, it finished with some astringency, which could pair well with a seared duck breast."
Baron Knyphausen 2011 Hattenheim Ortslage Kabinett Riesling (Rheingau),Baron Knyphausen,White,Hattenheim Ortslage Kabinett,Riesling,"Rheingau, Germany",11%,$32,92,Anna Lee C. Iijima,"Fresh herbs and florals brighten the nose of this exceptionally balanced Riesling. It's dry in style, yet intensely fruity, with bursts of pink grapefruit and guava that extend through a lush, creamy palate. Drink now through 2014 for its bright, floral exuberance."
Mannucci Droandi 2008 Ceppeto  (Vin Santo del Chianti Classico),Mannucci Droandi,Dessert,Ceppeto,White Blend,"Vin Santo del Chianti Classico, Tuscany, Italy",16%,,90,Kerin O’Keefe,"Made from organically farmed, dried Trebbiano, Malvasia and San Colombano grapes, this offers walnut, candied nectarine and caramel aromas. The rich but balanced palate delivers mature apricot, toasted almond and fig flavors."
Domaines Chermette 2017 Griotttes  (Beaujolais),Domaines Chermette,Red,Griotttes,Gamay,"Beaujolais, Beaujolais, France",12.5%,$16,85,Roger Voss,"Red cherries and touches of banana are the hallmarks of this fruity wine. Brightly textured and crisp with acidity, it is a light wine that is ready to drink."
Delas Frères 2001 François de Tournon  (Saint-Joseph),Delas Frères,Red,François de Tournon,,"Saint-Joseph, Rhône Valley, France",12.5%,$27,87,,"An easy-drinking syrah from the northern Rhône, this medium-weight wine boasts aromas of horse sweat, black pepper and roasted cherries, backed by flavors of black cherries and dried spices. It's plump and juicy. with a mouthwatering finish. Drink now–2010."
Trabucchi d'Illasi 2007  Recioto di Soave,Trabucchi d'Illasi,Dessert,,"Garganega, Italian White","Recioto di Soave, Veneto, Italy",13.5%,$23,89,Kerin O’Keefe,"This opens with aromas of candied ginger, mature yellow peach and toast. Made with dried Garganega grapes, the dense palate delivers dried apricot, acacia honey and a touch of toasted almond."
Edna Valley Vineyard 2007 Paragon Sauvignon Blanc (Edna Valley),Edna Valley Vineyard,White,Paragon,Sauvignon Blanc,"Edna Valley, Central Coast, California, US",14.5%,$12,82,,The combination of a cool vintage and a cool region has resulted in this unripe Sauvignon Blanc. It's strong in green pyrazines alongside the lemons and limes.
Liberty Lake 2013 Tempranillo (Red Mountain),Liberty Lake,Red,,Tempranillo,"Red Mountain, Columbia Valley, Washington, US",13.5%,$28,87,Sean P. Sullivan,"This wine shows vanilla, celery root, mesquite and herb aromas on the nose. Its baking spice flavors are quite sweet, suggesting heavy-handed oak. Vanilla flavors take over on the finish, leaving a disjointed impression."
Tenuta La Marchesa 2020 Saula  (Gavi),Tenuta La Marchesa,White,Saula,White Blend,"Gavi, Piedmont, Italy",12.5%,,88,Kerin O’Keefe,Aromas of banana and fragrant white spring flower lead the nose. The banana note follows over to the tangy palate along with pineapple and citrus before a crisp finish.
Castellucci Miano 2013 Nero d'Avola (Terre Siciliane),Castellucci Miano,Red,,"Nero d'Avola, Italian Red","Terre Siciliane, Sicily & Sardinia, Italy",13.5%,$14,87,Kerin O’Keefe,"Typical varietal aromas of black-skinned berry, blue flower a spice note waft out of the glass. The straightforward, easygoing palate conveys mature black cherry, raspberry jam and a light note of ground pepper alongside soft, round tannins. Simple but well made, it makes an ideal quaffing wine."
S.A. Prüm 2001 Wehlener Sonnenuhr Vat 10 Riesling Beerenauslese Riesling (Mosel-Saar-Ruwer),S.A. Prüm,Dessert,Wehlener Sonnenuhr Vat 10 Riesling Beerenauslese,Riesling,"Mosel-Saar-Ruwer, Germany",9%,$160,91,Joe Czerwinski,"Viscous, almost oily in texture, this is several vintages older than most of the recent samples, yet seems so unevolved that it's not out of place. Honey and dried spices are the predominant themes, with citrusy fruit making up the core. Should evolve glacially through at least 2025."
Vixen NV The Villain Red (Santa Barbara County),Vixen,Red,The Villain,"Red Blends, Red Blends","Santa Barbara County, Central Coast, California, US",14.1%,$29,87,,"This bistro-style red is dry and lusty in cherry, tobacco and spice flavors. The winery has not revealed what varieties are in it, but it tastes like a juicy, old-fashioned field blend, and will go well with a range of fare."
Line 39 2017 Chardonnay (California),Line 39,White,,Chardonnay,"California, California Other, California, US",14.5%,$11,87,Jim Gordon,This full-bodied wine has an earthy savory slant and good appley flavors as a base. Aromas of mineral water and broth give way to rich-tasting fruit flavors and a rounded texture.
Duckhorn 2014 Three Palms Vineyard Cabernet Sauvignon (Napa Valley),Duckhorn,Red,Three Palms Vineyard,Cabernet Sauvignon,"Napa Valley, Napa, California, US",14.9%,$98,90,Virginie Boone,"From the site made famous for Merlot, this estate wine shows the other side of the coin, more structured in tight tannins and a wealth of powerful concentration. Leather, baked plum and cocoa powder dominate the further components of blackberry and blueberry compote."
Concha y Toro 2008 Casillero del Diablo Reserve Carmenère (Rapel Valley),Concha y Toro,Red,Casillero del Diablo Reserve,Carmenère,"Rapel Valley, Chile",13.5%,,83,Michael Schachner,"Sweet, minty and confected, with marshmallow and candied berry aromas. The mouthfeel is tangy on the surface and hollow down below, while the palate has average size along with vanilla-infused berry flavors. Lean on the finish. More than 300,000 cases produced."
Joleté 2012 Pinot Noir (Willamette Valley),Joleté,Red,,Pinot Noir,"Willamette Valley, Willamette Valley, Oregon, US",14.1%,$28,88,Paul Gregutt,"This brings substantial density to the midpalate, mixing fresh flavors of strawberry, cherry cola and malted chocolate. It gains focus and grip as it breathes open. A slim frame of stem and earth sets up the finish."
Royal Muscato NV Pink Sparkling (Vin Mousseux),Royal Muscato,Sparkling,Pink,"Sparkling Blend, Sparkling","Vin Mousseux, France Other, France",11%,$8,85,Roger Voss,"Muscat's typical sweetness and delicacy give this an attractive balance of crisp acidity and ripe raspberry flavor. It's light, lively and intensely fruity."
Von Siebenthal 2008 Montelìg Red (Aconcagua Valley),Von Siebenthal,Red,Montelìg,Bordeaux-style Red Blend,"Aconcagua Valley, Chile",14.5%,$60,93,Michael Schachner,"This aged mix of Cabernet Sauvignon, Carmenère and Petit Verdot has aromas of minerals, brick dust, asphalt, herbs and red fruits. These set up a hard-driving palate with cola, vanilla, butter, plum and cassis flavors. A long, oaky, slightly hot finish says this has more gas in the tank; drink through 2018."
Apaltagua 2008 Signature Cabernet Sauvignon (Maipo Valley),Apaltagua,Red,Signature,Cabernet Sauvignon,"Maipo Valley, Chile",14%,$30,90,Michael Schachner,"Lively, fresh and spicy, with deep cassis and berry aromas. The palate is a bit angular and bumpy in feel, but there's no issue with the wine's berry, cassis and lightly herbal flavors. Finishes long, with elegance and balance. Drink now through 2014."
Greenock Creek 2004 Alices Shiraz (Barossa Valley),Greenock Creek,Red,Alices,,"Barossa Valley, South Australia, Australia",15%,$50,95,Joe Czerwinski,"Heady and superripe, this is a huge, mouthfilling wine that fits the ooze monster moniker, yet it finishes with structure and elegance. Camphor and cracked pepper scents accent the blackberry, dark chocolate and mint flavors that finish long, framed by dusty tannins. Drink now–2025."
Sineann 2007 Scorched Earth Vineyard Grenache (Columbia Valley (OR)),Sineann,Red,Scorched Earth Vineyard,Grenache,"Columbia Valley (OR), Oregon Other, Oregon, US",,$24,87,Paul Gregutt,"Light and gently spicy, this first-ever varietal Grenache from Sineann offers cranberry, pomegranate and boysenberry fruit, lots of acid and a quick fade."
Fox Creek 2014 Chardonnay (McLaren Vale),Fox Creek,White,,Chardonnay,"McLaren Vale, South Australia, Australia",13.5%,$21,87,Joe Czerwinski,"This is well-made, medium-bodied Chardonnay. Roasted cashews and grilled lemon slices mark the nose, while the flavors reflect more of the same, then draw to a long, crisp finish. Drink now–2020."
L'Escarpe 2016  Cahors,L'Escarpe,Red,,Malbec,"Cahors, Southwest France, France",13.5%,$18,87,Roger Voss,"This wood-aged wine is ripe and soft, full of black fruits and warm tannins. It is made to drink young, with great fruitiness and a rich, generous texture. Drink from 2019."
Three 2016 Live Oak Zinfandel (Contra Costa County),Three,Red,Live Oak,Zinfandel,"Contra Costa County, Central Coast, California, US",15.3%,$36,92,Jim Gordon,"Bold and spicy, this high-octane wine starts with salt and pepper aromas, and delivers intense black-pepper and black-cherry flavors on a firm palate bolstered by fine-grained tannins. Winemaker Matt Cline included 11% Petite Sirah, 9% Carignan and 2% Black Malvoisie in the blend."
Masciarelli 2015 Villa Gemma  (Cerasuolo d'Abruzzo),Masciarelli,Rose,Villa Gemma,"Rosato, Rosé","Cerasuolo d'Abruzzo, Central Italy, Italy",13%,$15,87,Kerin O’Keefe,"Aroma of red berry, pressed purple flower and a whiff of tilled earth lead the nose. The refreshing palate offers crushed blackberry and pomegranate alongside tangy acidity."
Patient Cottat 2014 Le Grand Caillou Sauvignon Blanc (Val de Loire),Patient Cottat,White,Le Grand Caillou,Sauvignon Blanc,"Val de Loire, Loire Valley, France",12%,$14,84,Roger Voss,"Light and bright with plenty of fruit and a lsoft texture, this lemon-flavored wine has crisp acidity and a ready-to-drink freshness. Drink now."
Château Cadet-Piola 2006  Saint-Émilion,Château Cadet-Piola,Red,,Bordeaux-style Red Blend,"Saint-Émilion, Bordeaux, France",13%,,92,Roger Voss,"One of the less well-known classed growths from Saint-Emilion, Cadet-Piola produced a 2006 that is now mature, ripe and smooth. Firm tannins keep the truffle and violet flavors together. It is now ready to drink."
Las Positas 2014 Coccineous Estate Red (Livermore Valley),Las Positas,Red,Coccineous Estate,"Red Blends, Red Blends","Livermore Valley, Central Coast, California, US",14.7%,$48,90,Jim Gordon,"Not showy or oaky, this wine is very dense, concentrated and dry, and needs more time to develop in the bottle. Blend from Tempranillo, Syrah, Petite Sirah and Malbec, it has an inky color, aromas of blackberry and cloves, and mouthfilling flavors backed by firm tannins and good acidity. Best after 2023."
Dürnberg 2018 Falko White (Niederösterreich),Dürnberg,White,Falko,White Blend,"Niederösterreich, Austria",11.5%,$14,89,Anne Krebiehl MW,"A seductive floral lift on the nose suggests honeysuckle but also reveals zesty citrus. The palate comes in with wonderful lightness, ease and almost weightless flavor. This dry and aromatic white blend is ideally paired with bright sunshine."
Gloria Ferrer NV Blanc de Noirs Sparkling (Carneros),Gloria Ferrer,Sparkling,Blanc de Noirs,"Sparkling Blend, Sparkling","Carneros, Napa-Sonoma, California, US",12.2%,VivinoGary's Wine,87,,"A rich, fruity bubbly for drinking now. It's a little coarse and scoury, but delicious, with candied lime, strawberry and vanilla flavors."
Château Grand Corbin-Despagne 2006 Barrel sample  (Saint-Émilion),Château Grand Corbin-Despagne,Red,Barrel sample,Bordeaux-style Red Blend,"Saint-Émilion, Bordeaux, France",,,91,Roger Voss,"90—92 Barrel sample. Promoted in 2006 to Grand Cru Classé, this is a dense wine, very concentrated, more about tannin than fruit. It's hugely firm, hugely dense."
Boeckel 2013 Zotzenberg Grand Cru Pinot Gris (Alsace),Boeckel,White,Zotzenberg Grand Cru,,"Alsace, Alsace, France",,$42,93,Roger Voss,"This beautiful wine is already so balanced and ripe. Rich tropical and yellow fruits are lightly spiced and given a lift with the acidity. Along with that, it offers a more complex texture and mineral character. Drink from 2017."
Roblar 2013 Triomphe Red (Santa Barbara County),Roblar,Red,Triomphe,Bordeaux-style Red Blend,"Santa Barbara County, Central Coast, California, US",14.6%,$40,86,Matt Kettmann,"Red currant, grapeseed, smoked meat and cracked concrete show on the nose of this blend of 58% Cabernet Sauvignon, 29% Merlot, 7% Cabernet Franc and 6% Petit Verdot. Tart red plum skins, darker boysenberries and coffee elements arise on the palate, where sticky tannins and a very powerful acidity frame the sip."
Glenora 2014 Chardonnay (Finger Lakes),Glenora,White,,Chardonnay,"Finger Lakes, Finger Lakes, New York, US",13%,$13,87,Anna Lee C. Iijima,"Whispers of lemon zest and orange blossoms lend subtle dimension to this brisk, minerally Chardonnay. Fresh apple and pear are demure on the palate but jolted into action by a kick of zappy lemon-lime. It's a zesty, refreshing wine ideal for youthful enjoyment."
Frog's Leap 1997 Cabernet Sauvignon (Napa Valley),Frog's Leap,Red,,Cabernet Sauvignon,"Napa Valley, Napa, California, US",13.9%,$30,91,,"A fine wine at the bottom of the ultrapremium price category. There's some bramble and forest aromas in advance of jammy cherry and blackberry fruit. Fades away smoothly and with good length. Not the most complex Cabernet, but it delivers the goods at all checkpoints."
Obsidian Ridge 2003 Obsidian Ridge Vineyard Syrah (Red Hills),Obsidian Ridge,Red,Obsidian Ridge Vineyard,,"Red Hills, Lake County, California, US",14.7%,$25,85,,"Seems a bit herbal or grassy at first, then reveals more mixed berries and spice with air. But it turns irretrievably tannic on the finish, with flavors of over steeped berry zinger tea. Probably best consumed young, for its exuberant fruit."
Heron Hill 2013 Eclipse Red (Finger Lakes),Heron Hill,Red,Eclipse,Bordeaux-style Red Blend,"Finger Lakes, Finger Lakes, New York, US",12.5%,$17,87,Anna Lee C. Iijima,"Vibrant blackberry and cherry flavors are accented by complexities of rose petal, bramble and savory herb in this elegant, light-footed red. It's not deeply complex or penetrating, but quite charming, marked by sunny cherry acidity and a plush, lingering palate."
Domaine Berthelemot 2017 Abbaye de Morgeot Premier Cru  (Chassagne-Montrachet),Domaine Berthelemot,White,Abbaye de Morgeot Premier Cru,Chardonnay,"Chassagne-Montrachet, Burgundy, France",13%,$74,94,Roger Voss,"This Meursault-based estate also has vines surrounding the old abbey of Chassagne-Montrachet. The wine shows structure and a zesty, mineral texture that dominates at this stage. It needs time to soften and fill out into a wine that has density as well as wonderful fruitiness. Drink from 2023."
Château Mondésir Gazin 2019  Blaye Côtes de Bordeaux,Château Mondésir Gazin,White,,,"Blaye Côtes de Bordeaux, Bordeaux, France",12.5%,$25,87,Roger Voss,"Crisp, tangy and fresh, this bright, fruity wine has good acidity. Freshly squeezed lemon flavors add a lively, zesty aftertaste. Drink now. Organic."
Massalto 2018 Side Effect Syrah (Columbia Valley (WA)),Massalto,Red,Side Effect,,"Columbia Valley (WA), Columbia Valley, Washington, US",15.4%,$60,92,Sean P. Sullivan,"This is a 100% whole-cluster, barrel-fermented wine from Stoneridge and Scarline Vineyards in the newly approved Royal Slope appellation. The aromas are brooding in notes of dried herbs, stem, spice and black raspberry. Full-bodied, ripe, luxurious flavors follow. There's an impressive seamlessness to it. It's all about hedonism and full-power expression, and it brings both in abundance."
Shooting Star 2015 Merlot (Lake County),Shooting Star,Red,,Merlot,"Lake County, Lake County, California, US",14.2%,$14,89,Jim Gordon,"A deep color and potent aromas of blackberry and black currant are the first impressions from this full-bodied, firmly structured and well concentrated wine. They lead to a palate full of deep blackberry flavors, a nicely dry balance and mouth-filling texture."
Baiocchi Wines 2012 Neophyte Rosé (Fair Play),Baiocchi Wines,Rose,Neophyte,Rosé,"Fair Play, Sierra Foothills, California, US",14.3%,$18,91,Virginie Boone,"A rosé of Grenache, grown in Fair Play, Neophyte is golden peach in color and crisp, with a long, spicy finish. Swirls of cucumber, watermelon and Nilla Wafer add depth to the palate. Only 60 cases made."
Moët & Chandon NV Brut Impérial  (Champagne),Moët & Chandon,Sparkling,Brut Impérial,"Champagne Blend, Sparkling","Champagne, Champagne, France",12.5%,VivinoWired for Wine,90,Roger Voss,"Attractively poised between softness and crispness, this best-selling Champagne is packed with ripe white fruits that are given a lift by the tight acidity. Its reliability and the increasing dryness and freshness of the wine are exemplary. This bottling is ready to drink."
Domaine du Roucas de St Pierre 2016  Gigondas,Domaine du Roucas de St Pierre,Red,,Rhône-style Red Blend,"Gigondas, Rhône Valley, France",14.5%,$30,93,Anna Lee C. Iijima,"Whiffs of dried strawberry and plum introduce this blend of 70% Grenache and 30% Syrah. It's a gorgeously fruity, fleshy wine with opulent body but also nuanced by hints of crushed earth, leather and violet. A supple wine with soft tannins to enjoy now–2023."
Ozzie-Ba-Ru 2006 Shiraz (Hunter Valley),Ozzie-Ba-Ru,Red,,,"Hunter Valley, New South Wales, Australia",13.7%,$17,89,Joe Czerwinski,"Despite the sub-$20 price, don't expect an easy, fruit-driven style. This is more smoky and meaty, with hints of vanilla, cedar and mint making for a complex, medium-bodied Shiraz. The long finish is framed gently by supple tannins, making it ready to drink now–2014."
Trump 2010 SP Blanc de Noir Brut Sparkling (Monticello),Trump,Sparkling,SP Blanc de Noir Brut,"Sparkling Blend, Sparkling","Monticello, Virginia, US",12.5%,$44,88,Carrie Dykes,"This has aromas and flavors of raw almond, citrus zest, bread crust and salt. Small, vigorous bubbles provide the backdrop, while dried apple and button-mushroom flavors marks the finish."
